mode,threads,time
parallel,1,0.043000
serial,1,0.031000
parallel,1,0.042000
serial,1,0.024000
parallel,1,0.036000
serial,1,0.023000
parallel,2,0.020000
serial,2,0.023000
parallel,2,0.033000
serial,2,0.023000
parallel,2,0.022000
serial,2,0.025000
parallel,4,0.013000
serial,4,0.027000
parallel,4,0.017000
serial,4,0.021000
parallel,4,0.017000
serial,4,0.030000
parallel,8,0.014000
serial,8,0.027000
parallel,8,0.013000
serial,8,0.020000
parallel,8,0.015000
serial,8,0.019000
parallel,12,0.015000
serial,12,0.024000
parallel,12,0.016000
serial,12,0.024000
parallel,12,0.014000
serial,12,0.023000
parallel,16,0.010000
serial,16,0.023000
parallel,16,0.013000
serial,16,0.024000
parallel,16,0.015000
serial,16,0.023000
